CustomerContactId;status code;status name;details;milliseconds spent
1207872;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 13544 with a balance of -750.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 13544 with a balance of -750.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,2035"
1209751;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 14148 with a balance of 0.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 14148 with a balance of 0.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,508"
1351820;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 92486 with a balance of 100.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 92486 with a balance of 100.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,6968"
1212543;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 14733 with a balance of 760.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 14733 with a balance of 760.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,1802"
1214521;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 15771 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 15771 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"12,8279"
1216191;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 16294 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 16294 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,198"
1216615;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 16452 with a balance of 199.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 16452 with a balance of 199.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,0813"
1216875;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 25719 with a balance of 0.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 25719 with a balance of 0.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,2957"
1355781;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 95580 with a balance of -5121.40
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 95580 with a balance of -5121.40
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,1058"
1358203;-6;ContactStillHasAnActivePass;"Cannot Anonymize Contact.  Contact still has an active pass
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact still has an active pass
Anonymization returned code '-6'=ContactStillHasAnActivePass";"4,4905"
1221110;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 17453 with a balance of 1196.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 17453 with a balance of 1196.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,7187"
1222416;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 17797 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 17797 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,1898"
1224811;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 18497 with a balance of 558.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 18497 with a balance of 558.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,1626"
1224959;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 18559 with a balance of 280.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 18559 with a balance of 280.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,6228"
1224969;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 18562 with a balance of 580.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 18562 with a balance of 580.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,529"
1225015;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 18569 with a balance of 152.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 18569 with a balance of 152.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,8303"
1225016;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 18570 with a balance of 398.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 18570 with a balance of 398.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,2675"
1225159;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 18616 with a balance of 1066.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 18616 with a balance of 1066.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,4756"
1227588;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 19172 with a balance of 750.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 19172 with a balance of 750.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"4,4114"
1227625;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 19185 with a balance of 0.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 19185 with a balance of 0.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,166"
1227633;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 19188 with a balance of 2645.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 19188 with a balance of 2645.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"7,9196"
1121360;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 129 with a balance of 280.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 129 with a balance of 280.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,8562"
1121426;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 160 with a balance of 580.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 160 with a balance of 580.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,0225"
1122087;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 34695 with a balance of 0.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 34695 with a balance of 0.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,3356"
1228133;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 19339 with a balance of 4440.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 19339 with a balance of 4440.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,4003"
1232848;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 20340 with a balance of 9309.40
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 20340 with a balance of 9309.40
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,667"
1233523;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 20524 with a balance of 897.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 20524 with a balance of 897.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,6687"
1234224;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 20720 with a balance of 598.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 20720 with a balance of 598.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"11,1888"
1235348;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 21005 with a balance of 450.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 21005 with a balance of 450.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,5731"
1238510;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 21655 with a balance of 598.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 21655 with a balance of 598.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,8509"
1238697;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 21736 with a balance of 1350.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 21736 with a balance of 1350.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"21,1217"
1239497;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 21965 with a balance of 0.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 21965 with a balance of 0.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,1836"
1239636;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22043 with a balance of 0.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22043 with a balance of 0.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,8927"
